timestamp,case_id,case_name,case_category,priority,api_name,method,path,status,expected_http_status,actual_http_status,expected_result_type,actual_result_type,request_payload,response_body,assertion_summary,error_message
2026-05-26 16:47:06,CHAT-001,最小合法请求,happy_path,P0,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:06,CHAT-002,显式传 compliance_check=0,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""你能做些什么""}],""compliance_check"":0}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-003,显式传 compliance_check=1,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""我今天非常开心""}],""compliance_check"":1}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-004,显式传 compliance_check=2,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请介绍一下人工智能""}],""compliance_check"":2}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-005,显式传 compliance_check=3,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""美国哪一年成立""}],""compliance_check"":3}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-006,不传 compliance_check 使用默认值,default_value,P1,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""今天天气怎么样""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-007,传 null compliance_check,default_value,P2,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请介绍下北京""}],""compliance_check"":null}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-008,携带自定义扩展字段,custom_extension,P1,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下大模型""}],""x_trace_id"":""trace-001"",""biz_tag"":""demo""}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-009,缺少 model,required_validation,P0,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-010,缺少 messages,required_validation,P0,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B""}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-011,messages 为空数组,boundary_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": []}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-012,messages 不是数组,type_validation,P0,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": {""role"":""user"",""content"":""介绍一下Python""}}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-013,messages 元素缺少 role,required_validation,P0,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""content"":""介绍一下Python""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-014,messages 元素缺少 content,required_validation,P0,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-015,model 传整数,type_validation,P0,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":123,""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-016,role 传整数,type_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":1,""content"":""介绍一下Python""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-017,content 传数组,type_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"": [""介绍一下Python""]}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-018,compliance_check 传字符串,type_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":""1""}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-019,compliance_check=-1,enum_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":-1}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-020,compliance_check=4,enum_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":4}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
2026-05-26 16:47:07,CHAT-021,成功响应固定结构校验,response_schema,P0,chat_completions,POST,/v1/chat/completions,error,200,404,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请简单介绍机器学习""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 404
2026-05-26 16:47:07,CHAT-022,失败响应固定结构校验,response_schema,P0,chat_completions,POST,/v1/chat/completions,error,422,404,validation_error,validation_error,"{""model"":123,""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""detail"": ""Not Found""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 404
